patient_num,patient_filename,accuracy,calibration,display_confidence,actual_confidence,model_prediction,ground_truth,user_prediction,user_update,question_relationship,full_questions,question_perceived_accuracy,question_calibration,question_personal_conf,question_model_conf,time_passed,time_stamp,user_name
1,./mainpage/dataset/test_dir/0-0-patient15372_study2_view1_frontal.jpg,"""{\""0\"": 0.805, \""1\"": 0.78}""","""{\""0\"": 0.05, \""1\"": 0.05}""",84.50000,0.82848,0,0,0,0,4,0,3,3,3,3,19,"05/12/2021, 18:00:11",Clark
2,./mainpage/dataset/test_dir/0-0-patient15893_study1_view1_frontal.jpg,"""{\""0\"": 0.805, \""1\"": 0.78}""","""{\""0\"": 0.05, \""1\"": 0.05}""",99.70000,0.98991,0,0,0,0,3,0,3,3,3,3,10,"05/12/2021, 18:00:33",Clark
3,./mainpage/dataset/test_dir/0-0-patient07410_study30_view1_frontal.jpg,"""{\""0\"": 0.805, \""1\"": 0.78}""","""{\""0\"": 0.05, \""1\"": 0.05}""",62.80000,0.57890,1,0,0,0,2,1,2,3,3,4,47,"05/12/2021, 18:01:27",Clark
4,./mainpage/dataset/test_dir/0-1-patient36076_study2_view1_frontal.jpg,"""{\""0\"": 0.805, \""1\"": 0.78}""","""{\""0\"": 0.05, \""1\"": 0.05}""",95.30000,0.95477,1,1,1,0,3,0,3,3,3,3,11,"05/12/2021, 18:01:49",Clark
5,./mainpage/dataset/test_dir/0-1-patient28702_study6_view1_frontal.jpg,"""{\""0\"": 0.805, \""1\"": 0.78}""","""{\""0\"": 0.05, \""1\"": 0.05}""",71.50000,0.68900,0,1,0,0,4,0,3,3,3,3,9,"05/12/2021, 18:02:06",Clark
6,./mainpage/dataset/test_dir/0-1-patient52565_study1_view1_frontal.jpg,"""{\""0\"": 0.805, \""1\"": 0.78}""","""{\""0\"": 0.05, \""1\"": 0.05}""",98.30000,0.96869,1,1,1,0,4,1,3,2,2,4,30,"05/12/2021, 18:02:45",Clark
7,./mainpage/dataset/test_dir/0-1-patient06324_study2_view1_frontal.jpg,"""{\""0\"": 0.805, \""1\"": 0.78}""","""{\""0\"": 0.05, \""1\"": 0.05}""",73.00000,0.89856,1,1,1,0,3,0,3,3,3,3,9,"05/12/2021, 18:03:04",Clark
8,./mainpage/dataset/test_dir/0-0-patient58610_study1_view1_frontal.jpg,"""{\""0\"": 0.805, \""1\"": 0.78}""","""{\""0\"": 0.05, \""1\"": 0.05}""",84.90000,0.85328,0,0,0,0,3,0,3,3,3,3,7,"05/12/2021, 18:03:42",Clark
9,./mainpage/dataset/test_dir/0-1-patient40621_study2_view1_frontal.jpg,"""{\""0\"": 0.805, \""1\"": 0.78}""","""{\""0\"": 0.05, \""1\"": 0.05}""",97.00000,0.95120,1,1,1,0,3,1,3,2,2,4,33,"05/12/2021, 18:04:25",Clark
10,./mainpage/dataset/test_dir/0-1-patient07231_study1_view1_frontal.jpg,"""{\""0\"": 0.805, \""1\"": 0.78}""","""{\""0\"": 0.05, \""1\"": 0.05}""",72.00000,0.75707,1,1,1,0,3,0,3,3,3,3,10,"05/12/2021, 18:04:45",Clark
