patient_num,patient_filename,accuracy,calibration,display_confidence,actual_confidence,model_prediction,ground_truth,user_prediction,user_update,question_relationship,full_questions,question_perceived_accuracy,question_calibration,question_personal_conf,question_model_conf,time_passed,time_stamp,user_name
1,./mainpage/dataset/test_dir/0-0-patient23102_study1_view1_frontal.jpg,"""{\""0\"": 0.855, \""1\"": 0.745}""","""{\""0\"": 0.03, \""1\"": 0.03}""",50.00000,0.51464,0,0,0,0,3,0,3,3,3,3,52,"05/19/2021, 16:13:42",Brandon
2,./mainpage/dataset/test_dir/0-0-patient49349_study1_view1_frontal.jpg,"""{\""0\"": 0.855, \""1\"": 0.745}""","""{\""0\"": 0.03, \""1\"": 0.03}""",86.90000,0.83743,1,0,1,0,4,0,3,3,3,3,14,"05/19/2021, 16:14:08",Brandon
3,./mainpage/dataset/test_dir/0-0-patient24363_study1_view1_frontal.jpg,"""{\""0\"": 0.855, \""1\"": 0.745}""","""{\""0\"": 0.03, \""1\"": 0.03}""",82.50000,0.82733,0,0,0,0,3,1,2,3,2,4,123,"05/19/2021, 16:16:23",Brandon
4,./mainpage/dataset/test_dir/0-0-patient28621_study1_view1_frontal.jpg,"""{\""0\"": 0.855, \""1\"": 0.745}""","""{\""0\"": 0.03, \""1\"": 0.03}""",63.90000,0.62533,0,0,1,1,2,0,3,3,3,3,22,"05/19/2021, 16:17:21",Brandon
5,./mainpage/dataset/test_dir/0-0-patient48424_study1_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.695}""","""{\""0\"": 0.03, \""1\"": 0.03}""",94.20000,0.95678,0,0,0,1,5,0,3,3,3,3,10,"05/19/2021, 16:18:02",Brandon
6,./mainpage/dataset/test_dir/0-0-patient34294_study1_view1_frontal.jpg,"""{\""0\"": 0.805, \""1\"": 0.76}""","""{\""0\"": 0.027, \""1\"": 0.03}""",58.60000,0.61082,0,0,1,1,2,1,3,3,2,4,242,"05/19/2021, 16:22:58",Brandon
7,./mainpage/dataset/test_dir/0-0-patient26177_study2_view1_frontal.jpg,"""{\""0\"": 0.82, \""1\"": 0.72}""","""{\""0\"": 0.027, \""1\"": 0.03}""",91.50000,0.91326,0,0,0,1,5,0,3,3,3,3,139,"05/19/2021, 16:28:28",Brandon
7,./mainpage/dataset/test_dir/0-0-patient26177_study2_view1_frontal.jpg,"""{\""0\"": 0.82, \""1\"": 0.72}""","""{\""0\"": 0.027, \""1\"": 0.03}""",91.50000,0.91326,0,0,0,1,5,0,3,3,3,3,147,"05/19/2021, 16:28:45",Brandon
8,./mainpage/dataset/test_dir/0-0-patient62635_study1_view1_frontal.jpg,"""{\""0\"": 0.82, \""1\"": 0.72}""","""{\""0\"": 0.027, \""1\"": 0.03}""",86.50000,0.84667,1,0,1,1,5,0,3,3,3,3,9,"05/19/2021, 16:29:25",Brandon
9,./mainpage/dataset/test_dir/0-1-patient20707_study4_view1_frontal.jpg,"""{\""0\"": 0.8, \""1\"": 0.73}""","""{\""0\"": 0.02835, \""1\"": 0.03}""",68.20000,0.68962,1,1,1,0,3,1,3,3,3,3,2,"05/19/2021, 16:29:46",Brandon
10,./mainpage/dataset/test_dir/0-1-patient06324_study2_view1_frontal.jpg,"""{\""0\"": 0.8, \""1\"": 0.73}""","""{\""0\"": 0.02835, \""1\"": 0.03}""",96.70000,0.94122,1,1,1,0,5,0,3,3,3,3,24,"05/19/2021, 16:30:52",Brandon
11,./mainpage/dataset/test_dir/0-0-patient55443_study3_view1_frontal.jpg,"""{\""0\"": 0.8, \""1\"": 0.73}""","""{\""0\"": 0.02835, \""1\"": 0.03}""",54.60000,0.53385,0,0,0,0,5,0,3,3,3,3,8,"05/19/2021, 16:31:30",Brandon
12,./mainpage/dataset/test_dir/1-0-patient14605_study1_view1_frontal.jpg,"""{\""0\"": 0.8, \""1\"": 0.73}""","""{\""0\"": 0.02835, \""1\"": 0.03}""",56.70000,0.52935,0,0,0,0,5,1,3,3,1,5,27,"05/19/2021, 16:32:26",Brandon
13,./mainpage/dataset/test_dir/0-0-patient23938_study6_view1_frontal.jpg,"""{\""0\"": 0.8, \""1\"": 0.73}""","""{\""0\"": 0.02835, \""1\"": 0.03}""",77.50000,0.80290,1,0,1,0,5,0,3,3,3,3,7,"05/19/2021, 16:33:00",Brandon
14,./mainpage/dataset/test_dir/0-0-patient17248_study4_view1_frontal.jpg,"""{\""0\"": 0.8, \""1\"": 0.73}""","""{\""0\"": 0.02835, \""1\"": 0.03}""",95.20000,0.95259,1,0,1,0,5,0,3,3,3,3,20,"05/19/2021, 16:34:00",Brandon
15,./mainpage/dataset/test_dir/1-1-patient38308_study4_view1_frontal.jpg,"""{\""0\"": 0.8, \""1\"": 0.73}""","""{\""0\"": 0.02835, \""1\"": 0.03}""",89.30000,0.87689,1,1,1,0,5,1,3,3,2,5,22,"05/19/2021, 16:34:59",Brandon
16,./mainpage/dataset/test_dir/0-0-patient13745_study9_view1_frontal.jpg,"""{\""0\"": 0.8, \""1\"": 0.73}""","""{\""0\"": 0.02835, \""1\"": 0.03}""",81.40000,0.86875,1,0,1,0,5,0,3,3,3,3,17,"05/19/2021, 16:35:29",Brandon
17,./mainpage/dataset/test_dir/1-0-patient12476_study1_view1_frontal.jpg,"""{\""0\"": 0.8, \""1\"": 0.73}""","""{\""0\"": 0.02835, \""1\"": 0.03}""",66.50000,0.64251,0,0,0,0,5,0,3,3,3,3,8,"05/19/2021, 16:35:54",Brandon
18,./mainpage/dataset/test_dir/1-1-patient07231_study1_view1_frontal.jpg,"""{\""0\"": 0.8, \""1\"": 0.73}""","""{\""0\"": 0.02835, \""1\"": 0.03}""",88.80000,0.84885,1,1,1,0,5,1,3,3,1,4,22,"05/19/2021, 16:37:05",Brandon
19,./mainpage/dataset/test_dir/1-1-patient48615_study1_view1_frontal.jpg,"""{\""0\"": 0.8, \""1\"": 0.73}""","""{\""0\"": 0.02835, \""1\"": 0.03}""",83.00000,0.80414,1,1,1,0,5,0,3,3,3,3,17,"05/19/2021, 16:37:43",Brandon
