patient_num,patient_filename,accuracy,calibration,model_prediction,ground_truth,user_prediction,user_update,question_relationship,full_questions,question_perceived_accuracy,question_calibration,question_personal_conf,question_model_conf,time_passed,time_stamp,user_name
1,./mainpage/dataset/test_dir/0-0-patient14605_study1_view1_frontal.jpg,"""{\""0\"": 0.83, \""1\"": 0.775}""","""{\""0\"": 0.05, \""1\"": 0.05}""",0,0,1,1,3,0,3,3,3,3,9,"12/03/2020, 02:23:13",asdf
1,./mainpage/dataset/test_dir/0-0-patient36631_study4_view1_frontal.jpg,"""{\""0\"": 0.79, \""1\"": 0.765}""","""{\""0\"": 0.03, \""1\"": 0.03}""",1,0,0,0,2,0,3,3,3,3,56,"12/05/2020, 02:12:44",Angela
1,./mainpage/dataset/test_dir/0-0-patient36631_study4_view1_frontal.jpg,"""{\""0\"": 0.79, \""1\"": 0.765}""","""{\""0\"": 0.03, \""1\"": 0.03}""",1,0,0,0,2,0,3,3,3,3,61,"12/05/2020, 02:12:48",Angela
1,./mainpage/dataset/test_dir/0-0-patient36631_study4_view1_frontal.jpg,"""{\""0\"": 0.79, \""1\"": 0.765}""","""{\""0\"": 0.03, \""1\"": 0.03}""",1,0,0,0,2,0,3,3,3,3,64,"12/05/2020, 02:12:51",Angela
1,./mainpage/dataset/test_dir/0-0-patient36631_study4_view1_frontal.jpg,"""{\""0\"": 0.79, \""1\"": 0.765}""","""{\""0\"": 0.03, \""1\"": 0.03}""",1,0,0,0,2,0,3,3,3,3,66,"12/05/2020, 02:12:54",Angela
1,./mainpage/dataset/test_dir/0-0-patient36631_study4_view1_frontal.jpg,"""{\""0\"": 0.79, \""1\"": 0.765}""","""{\""0\"": 0.03, \""1\"": 0.03}""",1,0,0,0,2,0,3,3,3,3,68,"12/05/2020, 02:12:55",Angela
2,./mainpage/dataset/test_dir/0-0-patient22403_study1_view1_frontal.jpg,"""{\""0\"": 0.79, \""1\"": 0.765}""","""{\""0\"": 0.03, \""1\"": 0.03}""",0,0,1,0,2,0,3,3,3,3,25,"12/05/2020, 02:13:36",Angela
3,./mainpage/dataset/test_dir/0-0-patient08328_study7_view1_frontal.jpg,"""{\""0\"": 0.79, \""1\"": 0.765}""","""{\""0\"": 0.03, \""1\"": 0.03}""",0,0,0,1,3,1,3,3,2,3,44,"12/05/2020, 02:14:33",Angela
4,./mainpage/dataset/test_dir/0-0-patient15372_study2_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.72}""","""{\""0\"": 0.027, \""1\"": 0.03}""",0,0,0,1,3,0,3,3,3,3,28,"12/05/2020, 02:15:15",Angela
5,./mainpage/dataset/test_dir/0-1-patient40621_study2_view1_frontal.jpg,"""{\""0\"": 0.8, \""1\"": 0.765}""","""{\""0\"": 0.0243, \""1\"": 0.03}""",1,1,1,1,3,0,3,3,3,3,8,"12/05/2020, 02:15:36",Angela
