patient_num,patient_filename,accuracy,calibration,display_confidence,actual_confidence,model_prediction,ground_truth,user_prediction,user_update,question_relationship,full_questions,question_perceived_accuracy,question_calibration,question_personal_conf,question_model_conf,time_passed,time_stamp,user_name
1,./mainpage/dataset/test_dir/0-0-patient08328_study7_view1_frontal.jpg,"""{\""0\"": 0.84, \""1\"": 0.78}""","""{\""0\"": 0.05, \""1\"": 0.05}""",78.70000,0.76986,0,0,0,0,3,0,3,3,3,3,96,"05/11/2021, 23:34:29",mitch johnson
2,./mainpage/dataset/test_dir/0-1-patient06324_study2_view1_frontal.jpg,"""{\""0\"": 0.84, \""1\"": 0.78}""","""{\""0\"": 0.05, \""1\"": 0.05}""",93.50000,0.92213,1,1,1,0,3,0,3,3,3,3,12,"05/11/2021, 23:34:49",mitch johnson
3,./mainpage/dataset/test_dir/0-1-patient25909_study4_view1_frontal.jpg,"""{\""0\"": 0.84, \""1\"": 0.78}""","""{\""0\"": 0.05, \""1\"": 0.05}""",77.00000,0.84541,1,1,1,0,3,0,3,3,3,3,11,"05/11/2021, 23:35:10",mitch johnson
4,./mainpage/dataset/test_dir/0-1-patient27473_study8_view1_frontal.jpg,"""{\""0\"": 0.84, \""1\"": 0.78}""","""{\""0\"": 0.05, \""1\"": 0.05}""",99.50000,0.95371,1,1,0,0,3,0,3,3,3,3,10,"05/11/2021, 23:35:27",mitch johnson
5,./mainpage/dataset/test_dir/0-1-patient09393_study2_view1_frontal.jpg,"""{\""0\"": 0.84, \""1\"": 0.78}""","""{\""0\"": 0.05, \""1\"": 0.05}""",58.40000,0.59073,0,1,0,0,3,0,3,3,3,3,11,"05/11/2021, 23:35:47",mitch johnson
6,./mainpage/dataset/test_dir/0-0-patient25520_study1_view1_frontal.jpg,"""{\""0\"": 0.84, \""1\"": 0.78}""","""{\""0\"": 0.05, \""1\"": 0.05}""",75.90000,0.80968,0,0,1,0,3,0,3,3,3,3,15,"05/11/2021, 23:36:10",mitch johnson
7,./mainpage/dataset/test_dir/0-1-patient35707_study8_view2_frontal.jpg,"""{\""0\"": 0.84, \""1\"": 0.78}""","""{\""0\"": 0.05, \""1\"": 0.05}""",100.00000,0.94499,1,1,1,0,3,0,3,3,3,3,6,"05/11/2021, 23:36:24",mitch johnson
8,./mainpage/dataset/test_dir/0-1-patient48615_study1_view1_frontal.jpg,"""{\""0\"": 0.84, \""1\"": 0.78}""","""{\""0\"": 0.05, \""1\"": 0.05}""",50.00000,0.50942,1,1,1,0,3,0,3,3,3,3,7,"05/11/2021, 23:36:46",mitch johnson
9,./mainpage/dataset/test_dir/0-0-patient26177_study2_view1_frontal.jpg,"""{\""0\"": 0.84, \""1\"": 0.78}""","""{\""0\"": 0.05, \""1\"": 0.05}""",96.90000,0.94831,0,0,0,0,3,0,3,3,3,3,7,"05/11/2021, 23:37:01",mitch johnson
10,./mainpage/dataset/test_dir/0-0-patient34294_study1_view1_frontal.jpg,"""{\""0\"": 0.84, \""1\"": 0.78}""","""{\""0\"": 0.05, \""1\"": 0.05}""",90.70000,0.88696,0,0,0,0,3,0,3,3,3,3,8,"05/11/2021, 23:37:17",mitch johnson
