patient_num,patient_filename,accuracy,calibration,display_confidence,actual_confidence,model_prediction,ground_truth,user_prediction,user_update,question_relationship,full_questions,question_perceived_accuracy,question_calibration,question_personal_conf,question_model_conf,time_passed,time_stamp,user_name
1,./mainpage/dataset/test_dir/0-0-patient14605_study1_view1_frontal.jpg,"""{\""0\"": 0.77, \""1\"": 0.755}""","""{\""0\"": 0.03, \""1\"": 0.03}""",98.50000,0.99943,0,0,0,0,3,0,3,3,3,3,13,"05/17/2021, 21:00:02",Curtis
2,./mainpage/dataset/test_dir/0-0-patient24363_study1_view1_frontal.jpg,"""{\""0\"": 0.77, \""1\"": 0.755}""","""{\""0\"": 0.03, \""1\"": 0.03}""",79.80000,0.78226,0,0,0,1,2,0,3,3,3,3,13,"05/17/2021, 21:01:04",Curtis
3,./mainpage/dataset/test_dir/0-1-patient27473_study8_view1_frontal.jpg,"""{\""0\"": 0.83, \""1\"": 0.77}""","""{\""0\"": 0.027, \""1\"": 0.03}""",99.80000,0.97115,1,1,1,0,4,1,2,2,3,4,32,"05/17/2021, 21:01:53",Curtis
4,./mainpage/dataset/test_dir/0-1-patient28702_study6_view1_frontal.jpg,"""{\""0\"": 0.83, \""1\"": 0.77}""","""{\""0\"": 0.027, \""1\"": 0.03}""",89.40000,0.86019,1,1,1,0,4,0,3,3,3,3,7,"05/17/2021, 21:02:19",Curtis
5,./mainpage/dataset/test_dir/0-0-patient49349_study1_view1_frontal.jpg,"""{\""0\"": 0.83, \""1\"": 0.77}""","""{\""0\"": 0.027, \""1\"": 0.03}""",83.70000,0.79518,1,0,1,0,4,0,3,3,3,3,8,"05/17/2021, 21:02:46",Curtis
6,./mainpage/dataset/test_dir/0-1-patient17961_study3_view1_frontal.jpg,"""{\""0\"": 0.83, \""1\"": 0.77}""","""{\""0\"": 0.027, \""1\"": 0.03}""",94.50000,0.98697,1,1,1,0,3,1,2,3,2,4,27,"05/17/2021, 21:03:35",Curtis
7,./mainpage/dataset/test_dir/0-1-patient38308_study4_view1_frontal.jpg,"""{\""0\"": 0.83, \""1\"": 0.77}""","""{\""0\"": 0.027, \""1\"": 0.03}""",94.20000,0.93398,1,1,1,0,3,0,3,3,3,3,10,"05/17/2021, 21:03:57",Curtis
8,./mainpage/dataset/test_dir/0-0-patient15372_study2_view1_frontal.jpg,"""{\""0\"": 0.83, \""1\"": 0.77}""","""{\""0\"": 0.027, \""1\"": 0.03}""",89.60000,0.90588,0,0,1,0,2,0,3,3,3,3,9,"05/17/2021, 21:04:19",Curtis
9,./mainpage/dataset/test_dir/0-0-patient51560_study4_view1_frontal.jpg,"""{\""0\"": 0.83, \""1\"": 0.77}""","""{\""0\"": 0.027, \""1\"": 0.03}""",97.20000,0.98042,0,0,0,0,4,1,3,2,2,4,21,"05/17/2021, 21:04:53",Curtis
10,./mainpage/dataset/test_dir/0-0-patient08043_study1_view1_frontal.jpg,"""{\""0\"": 0.83, \""1\"": 0.77}""","""{\""0\"": 0.027, \""1\"": 0.03}""",91.90000,0.90538,0,0,0,0,4,0,3,3,3,3,6,"05/17/2021, 21:05:09",Curtis
11,./mainpage/dataset/test_dir/1-0-patient23102_study1_view1_frontal.jpg,"""{\""0\"": 0.83, \""1\"": 0.77}""","""{\""0\"": 0.027, \""1\"": 0.03}""",76.20000,0.71598,1,0,0,0,3,0,3,3,3,3,9,"05/17/2021, 21:05:32",Curtis
