patient_num,patient_filename,accuracy,calibration,display_confidence,actual_confidence,model_prediction,ground_truth,user_prediction,user_update,question_relationship,full_questions,question_perceived_accuracy,question_calibration,question_personal_conf,question_model_conf,time_passed,time_stamp,user_name
1,./mainpage/dataset/test_dir/0-0-patient27612_study2_view1_frontal.jpg,"""{\""0\"": 0.82, \""1\"": 0.73}""","""{\""0\"": 0.03, \""1\"": 0.03}""",55.30000,0.57482,1,0,1,1,4,0,3,3,3,3,53,"05/11/2021, 22:15:10",Michael
2,./mainpage/dataset/test_dir/0-0-patient24556_study1_view1_frontal.jpg,"""{\""0\"": 0.82, \""1\"": 0.74}""","""{\""0\"": 0.0315, \""1\"": 0.03}""",74.60000,0.75929,0,0,0,1,5,0,3,3,3,3,10,"05/11/2021, 22:15:56",Michael
3,./mainpage/dataset/test_dir/0-0-patient45194_study1_view1_frontal.jpg,"""{\""0\"": 0.79, \""1\"": 0.77}""","""{\""0\"": 0.02835, \""1\"": 0.03}""",61.20000,0.64835,1,0,1,1,5,1,2,2,2,5,28,"05/11/2021, 22:16:53",Michael
4,./mainpage/dataset/test_dir/0-1-patient01006_study1_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.74}""","""{\""0\"": 0.029767500000000002, \""1\"": 0.03}""",90.30000,0.93810,1,1,1,0,5,0,3,3,3,3,7,"05/11/2021, 22:17:13",Michael
5,./mainpage/dataset/test_dir/0-0-patient26177_study2_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.74}""","""{\""0\"": 0.029767500000000002, \""1\"": 0.03}""",91.50000,0.96070,0,0,0,0,5,0,3,3,3,3,7,"05/11/2021, 22:17:37",Michael
6,./mainpage/dataset/test_dir/0-1-patient38308_study4_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.74}""","""{\""0\"": 0.029767500000000002, \""1\"": 0.03}""",96.20000,0.97321,1,1,1,0,5,1,5,5,5,5,16,"05/11/2021, 22:18:06",Michael
7,./mainpage/dataset/test_dir/0-1-patient48615_study1_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.74}""","""{\""0\"": 0.029767500000000002, \""1\"": 0.03}""",83.00000,0.85773,1,1,1,0,5,0,3,3,3,3,7,"05/11/2021, 22:18:24",Michael
8,./mainpage/dataset/test_dir/0-0-patient12232_study1_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.74}""","""{\""0\"": 0.029767500000000002, \""1\"": 0.03}""",77.50000,0.77664,1,0,1,1,5,0,3,3,3,3,7,"05/11/2021, 22:19:04",Michael
9,./mainpage/dataset/test_dir/0-0-patient25468_study1_view2_frontal.jpg,"""{\""0\"": 0.815, \""1\"": 0.705}""","""{\""0\"": 0.031255875, \""1\"": 0.03}""",95.80000,0.95063,0,0,0,0,5,1,3,3,1,5,23,"05/11/2021, 22:19:45",Michael
10,./mainpage/dataset/test_dir/0-0-patient14605_study1_view1_frontal.jpg,"""{\""0\"": 0.815, \""1\"": 0.705}""","""{\""0\"": 0.031255875, \""1\"": 0.03}""",98.40000,0.99579,0,0,0,0,5,0,3,3,3,3,6,"05/11/2021, 22:20:03",Michael
11,./mainpage/dataset/test_dir/1-1-patient17961_study3_view1_frontal.jpg,"""{\""0\"": 0.815, \""1\"": 0.705}""","""{\""0\"": 0.031255875, \""1\"": 0.03}""",82.50000,0.86209,1,1,1,0,5,0,3,3,3,3,16,"05/11/2021, 22:20:34",Michael
12,./mainpage/dataset/test_dir/1-1-patient14265_study1_view1_frontal.jpg,"""{\""0\"": 0.815, \""1\"": 0.705}""","""{\""0\"": 0.031255875, \""1\"": 0.03}""",72.40000,0.67695,1,1,1,0,5,1,3,5,1,5,30,"05/11/2021, 22:21:23",Michael
12,./mainpage/dataset/test_dir/1-1-patient14265_study1_view1_frontal.jpg,"""{\""0\"": 0.815, \""1\"": 0.705}""","""{\""0\"": 0.031255875, \""1\"": 0.03}""",72.40000,0.67695,1,1,1,0,5,1,3,5,1,5,32,"05/11/2021, 22:21:24",Michael
13,./mainpage/dataset/test_dir/0-0-patient51560_study4_view1_frontal.jpg,"""{\""0\"": 0.815, \""1\"": 0.705}""","""{\""0\"": 0.031255875, \""1\"": 0.03}""",91.30000,0.89980,0,0,0,0,5,0,3,3,3,3,7,"05/11/2021, 22:21:47",Michael
14,./mainpage/dataset/test_dir/0-1-patient09651_study1_view1_frontal.jpg,"""{\""0\"": 0.815, \""1\"": 0.705}""","""{\""0\"": 0.031255875, \""1\"": 0.03}""",90.40000,0.96106,1,1,1,0,5,0,3,3,3,3,7,"05/11/2021, 22:22:07",Michael
15,./mainpage/dataset/test_dir/0-0-patient15372_study2_view1_frontal.jpg,"""{\""0\"": 0.815, \""1\"": 0.705}""","""{\""0\"": 0.031255875, \""1\"": 0.03}""",87.10000,0.88506,0,0,0,0,5,1,4,4,5,5,20,"05/11/2021, 22:22:39",Michael
16,./mainpage/dataset/test_dir/1-1-patient27473_study8_view1_frontal.jpg,"""{\""0\"": 0.815, \""1\"": 0.705}""","""{\""0\"": 0.031255875, \""1\"": 0.03}""",52.70000,0.48564,0,1,0,0,3,0,3,3,3,3,10,"05/11/2021, 22:23:03",Michael
17,./mainpage/dataset/test_dir/0-0-patient15893_study1_view1_frontal.jpg,"""{\""0\"": 0.815, \""1\"": 0.705}""","""{\""0\"": 0.031255875, \""1\"": 0.03}""",100.00000,0.94381,0,0,0,0,5,0,3,3,3,3,7,"05/11/2021, 22:23:27",Michael
18,./mainpage/dataset/test_dir/1-0-patient12232_study1_view1_frontal.jpg,"""{\""0\"": 0.815, \""1\"": 0.705}""","""{\""0\"": 0.031255875, \""1\"": 0.03}""",87.40000,0.83373,1,0,1,0,4,1,4,4,2,5,21,"05/11/2021, 22:24:03",Michael
19,./mainpage/dataset/test_dir/0-0-patient24363_study1_view1_frontal.jpg,"""{\""0\"": 0.815, \""1\"": 0.705}""","""{\""0\"": 0.031255875, \""1\"": 0.03}""",71.10000,0.73142,0,0,0,1,4,0,3,3,3,3,12,"05/11/2021, 22:24:43",Michael
20,./mainpage/dataset/test_dir/1-1-patient45030_study1_view1_frontal.jpg,"""{\""0\"": 0.86, \""1\"": 0.72}""","""{\""0\"": 0.028130287500000004, \""1\"": 0.03}""",79.40000,0.77853,1,1,1,1,4,0,3,3,3,3,7,"05/11/2021, 22:25:25",Michael
21,./mainpage/dataset/test_dir/1-0-patient07410_study30_view1_frontal.jpg,"""{\""0\"": 0.77, \""1\"": 0.75}""","""{\""0\"": 0.028130287500000004, \""1\"": 0.027}""",78.90000,0.74534,1,0,1,1,5,1,5,4,1,5,455,"05/11/2021, 22:33:37",Michael
22,./mainpage/dataset/test_dir/1-1-patient26914_study3_view1_frontal.jpg,"""{\""0\"": 0.8, \""1\"": 0.75}""","""{\""0\"": 0.028130287500000004, \""1\"": 0.02835}""",91.00000,0.88718,1,1,1,0,5,0,3,3,3,3,10,"05/11/2021, 22:34:01",Michael
23,./mainpage/dataset/test_dir/1-1-patient36076_study2_view1_frontal.jpg,"""{\""0\"": 0.8, \""1\"": 0.75}""","""{\""0\"": 0.028130287500000004, \""1\"": 0.02835}""",97.40000,0.97282,1,1,1,0,5,0,3,3,3,3,6,"05/11/2021, 22:34:22",Michael
