patient_num,patient_filename,accuracy,calibration,display_confidence,actual_confidence,model_prediction,ground_truth,user_prediction,user_update,question_relationship,full_questions,question_perceived_accuracy,question_calibration,question_personal_conf,question_model_conf,time_passed,time_stamp,user_name
1,./mainpage/dataset/test_dir/0-0-patient15372_study2_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.735}""","""{\""0\"": 0.03, \""1\"": 0.03}""",95.60000,0.94255,0,0,0,0,3,0,3,3,3,3,40,"05/11/2021, 22:49:33",Tiffany
2,./mainpage/dataset/test_dir/0-1-patient61887_study1_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.735}""","""{\""0\"": 0.03, \""1\"": 0.03}""",98.60000,0.97239,1,1,1,0,3,0,3,3,3,3,10,"05/11/2021, 22:49:54",Tiffany
3,./mainpage/dataset/test_dir/0-1-patient01006_study1_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.735}""","""{\""0\"": 0.03, \""1\"": 0.03}""",97.70000,0.97358,1,1,1,0,3,1,3,3,4,4,49,"05/11/2021, 22:50:50",Tiffany
4,./mainpage/dataset/test_dir/0-1-patient09393_study2_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.735}""","""{\""0\"": 0.03, \""1\"": 0.03}""",62.60000,0.64210,0,1,0,0,3,0,3,3,3,3,12,"05/11/2021, 22:51:09",Tiffany
5,./mainpage/dataset/test_dir/0-1-patient50626_study1_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.735}""","""{\""0\"": 0.03, \""1\"": 0.03}""",85.20000,0.87418,1,1,1,0,3,0,3,3,3,3,13,"05/11/2021, 22:51:30",Tiffany
6,./mainpage/dataset/test_dir/0-1-patient43059_study2_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.735}""","""{\""0\"": 0.03, \""1\"": 0.03}""",71.00000,0.72434,1,1,1,0,3,1,4,4,2,4,36,"05/11/2021, 22:52:17",Tiffany
7,./mainpage/dataset/test_dir/0-0-patient31640_study1_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.735}""","""{\""0\"": 0.03, \""1\"": 0.03}""",79.10000,0.77938,1,0,1,0,3,0,3,3,3,3,8,"05/11/2021, 22:52:31",Tiffany
8,./mainpage/dataset/test_dir/0-0-patient26177_study2_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.735}""","""{\""0\"": 0.03, \""1\"": 0.03}""",98.80000,0.93757,0,0,0,0,3,0,3,3,3,3,7,"05/11/2021, 22:52:45",Tiffany
9,./mainpage/dataset/test_dir/0-1-patient02579_study1_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.735}""","""{\""0\"": 0.03, \""1\"": 0.03}""",82.80000,0.82197,0,1,1,0,3,1,4,4,4,4,31,"05/11/2021, 22:53:24",Tiffany
10,./mainpage/dataset/test_dir/0-0-patient36631_study4_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.735}""","""{\""0\"": 0.03, \""1\"": 0.03}""",68.90000,0.70475,1,0,0,0,3,0,3,3,3,3,8,"05/11/2021, 22:53:39",Tiffany
11,./mainpage/dataset/test_dir/1-1-patient48944_study1_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.735}""","""{\""0\"": 0.03, \""1\"": 0.03}""",76.20000,0.75228,1,1,1,0,3,0,3,3,3,3,6,"05/11/2021, 22:53:53",Tiffany
12,./mainpage/dataset/test_dir/0-1-patient17709_study2_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.735}""","""{\""0\"": 0.03, \""1\"": 0.03}""",53.20000,0.53626,1,1,0,0,3,1,2,4,4,4,30,"05/11/2021, 22:54:30",Tiffany
13,./mainpage/dataset/test_dir/1-1-patient17961_study3_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.735}""","""{\""0\"": 0.03, \""1\"": 0.03}""",94.10000,0.92603,1,1,1,0,3,0,3,3,3,3,7,"05/11/2021, 22:54:42",Tiffany
14,./mainpage/dataset/test_dir/1-1-patient42926_study1_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.735}""","""{\""0\"": 0.03, \""1\"": 0.03}""",92.90000,0.97731,1,1,1,0,3,0,3,3,3,3,7,"05/11/2021, 22:54:57",Tiffany
15,./mainpage/dataset/test_dir/0-0-patient13745_study9_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.735}""","""{\""0\"": 0.03, \""1\"": 0.03}""",89.20000,0.87796,1,0,1,0,3,1,4,4,4,4,23,"05/11/2021, 22:55:26",Tiffany
16,./mainpage/dataset/test_dir/1-0-patient26023_study1_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.735}""","""{\""0\"": 0.03, \""1\"": 0.03}""",74.30000,0.77085,0,0,0,0,3,0,3,3,3,3,6,"05/11/2021, 22:55:39",Tiffany
17,./mainpage/dataset/test_dir/0-1-patient31413_study4_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.735}""","""{\""0\"": 0.03, \""1\"": 0.03}""",84.10000,0.81302,1,1,1,0,3,0,3,3,3,3,5,"05/11/2021, 22:55:50",Tiffany
18,./mainpage/dataset/test_dir/0-1-patient56130_study1_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.735}""","""{\""0\"": 0.03, \""1\"": 0.03}""",79.70000,0.75282,1,1,1,0,3,1,4,4,4,4,44,"05/11/2021, 22:56:40",Tiffany
19,./mainpage/dataset/test_dir/1-1-patient40621_study2_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.735}""","""{\""0\"": 0.03, \""1\"": 0.03}""",92.70000,0.90695,1,1,1,0,3,0,3,3,3,3,6,"05/11/2021, 22:56:59",Tiffany
