patient_num,patient_filename,accuracy,calibration,model_prediction,ground_truth,user_prediction,user_update,question_relationship,full_questions,question_perceived_accuracy,question_calibration,question_personal_conf,question_model_conf,time_passed,time_stamp,user_name
1,./mainpage/dataset/test_dir/0-1-patient56130_study1_view1_frontal.jpg,"""{\""0\"": 0.83, \""1\"": 0.745}""","""{\""0\"": 0.05, \""1\"": 0.05}""",1,1,1,1,3,0,3,3,3,3,4,"12/03/2020, 02:21:51",saf
1,./mainpage/dataset/test_dir/0-0-patient20943_study1_view1_frontal.jpg,"""{\""0\"": 0.755, \""1\"": 0.725}""","""{\""0\"": 0.05, \""1\"": 0.05}""",0,0,0,1,3,0,3,3,3,3,66,"12/04/2020, 22:30:09",DAN K
2,./mainpage/dataset/test_dir/0-1-patient02778_study3_view1_frontal.jpg,"""{\""0\"": 0.83, \""1\"": 0.765}""","""{\""0\"": 0.045000000000000005, \""1\"": 0.05}""",1,1,1,0,3,0,3,3,3,3,66,"12/04/2020, 22:31:27",DAN K
3,./mainpage/dataset/test_dir/0-0-patient39155_study1_view1_frontal.jpg,"""{\""0\"": 0.83, \""1\"": 0.765}""","""{\""0\"": 0.045000000000000005, \""1\"": 0.05}""",0,0,0,0,1,1,3,4,2,5,58,"12/04/2020, 22:32:39",DAN K
4,./mainpage/dataset/test_dir/0-1-patient59168_study1_view1_frontal.jpg,"""{\""0\"": 0.83, \""1\"": 0.765}""","""{\""0\"": 0.045000000000000005, \""1\"": 0.05}""",1,1,0,1,1,0,3,3,3,3,20,"12/04/2020, 22:33:35",DAN K
5,./mainpage/dataset/test_dir/0-1-patient09651_study1_view1_frontal.jpg,"""{\""0\"": 0.8, \""1\"": 0.725}""","""{\""0\"": 0.045000000000000005, \""1\"": 0.05}""",1,1,1,1,3,0,3,3,3,3,22,"12/04/2020, 22:34:23",DAN K
6,./mainpage/dataset/test_dir/0-0-patient48424_study1_view1_frontal.jpg,"""{\""0\"": 0.805, \""1\"": 0.78}""","""{\""0\"": 0.04050000000000001, \""1\"": 0.05}""",0,0,0,1,3,1,4,5,2,5,63,"12/04/2020, 22:35:58",DAN K
7,./mainpage/dataset/test_dir/0-1-patient41518_study1_view1_frontal.jpg,"""{\""0\"": 0.8, \""1\"": 0.77}""","""{\""0\"": 0.03645000000000001, \""1\"": 0.05}""",1,1,1,1,3,0,3,3,3,3,30,"12/04/2020, 22:37:57",DAN K
8,./mainpage/dataset/test_dir/0-0-patient24363_study1_view1_frontal.jpg,"""{\""0\"": 0.815, \""1\"": 0.755}""","""{\""0\"": 0.03280500000000001, \""1\"": 0.05}""",0,0,0,0,2,0,3,3,3,3,95,"12/04/2020, 22:39:42",DAN K
9,./mainpage/dataset/test_dir/0-0-patient19490_study1_view1_frontal.jpg,"""{\""0\"": 0.815, \""1\"": 0.755}""","""{\""0\"": 0.03280500000000001, \""1\"": 0.05}""",0,0,0,0,3,1,4,5,4,5,114,"12/04/2020, 22:41:50",DAN K
10,./mainpage/dataset/test_dir/0-1-patient53848_study1_view1_frontal.jpg,"""{\""0\"": 0.815, \""1\"": 0.755}""","""{\""0\"": 0.03280500000000001, \""1\"": 0.05}""",1,1,1,1,3,0,3,3,3,3,12,"12/04/2020, 22:42:25",DAN K
11,./mainpage/dataset/test_dir/0-0-patient08294_study13_view1_frontal.jpg,"""{\""0\"": 0.785, \""1\"": 0.745}""","""{\""0\"": 0.02952450000000001, \""1\"": 0.05}""",0,0,0,0,4,0,3,3,3,3,76,"12/04/2020, 22:43:50",DAN K
12,./mainpage/dataset/test_dir/1-1-patient25909_study4_view1_frontal.jpg,"""{\""0\"": 0.785, \""1\"": 0.745}""","""{\""0\"": 0.02952450000000001, \""1\"": 0.05}""",1,1,1,0,3,1,5,5,3,5,197,"12/04/2020, 22:47:20",DAN K
13,./mainpage/dataset/test_dir/0-0-patient31640_study1_view1_frontal.jpg,"""{\""0\"": 0.785, \""1\"": 0.745}""","""{\""0\"": 0.02952450000000001, \""1\"": 0.05}""",0,0,0,1,3,0,3,3,3,3,9,"12/04/2020, 22:47:41",DAN K
14,./mainpage/dataset/test_dir/0-0-patient08043_study1_view1_frontal.jpg,"""{\""0\"": 0.835, \""1\"": 0.795}""","""{\""0\"": 0.02657205000000001, \""1\"": 0.05}""",0,0,0,1,3,0,3,3,3,3,26,"12/04/2020, 22:48:22",DAN K
15,./mainpage/dataset/test_dir/1-1-patient59168_study1_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.74}""","""{\""0\"": 0.02391484500000001, \""1\"": 0.05}""",1,1,1,0,3,1,4,5,4,5,42,"12/04/2020, 22:49:13",DAN K
16,./mainpage/dataset/test_dir/0-0-patient49510_study1_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.74}""","""{\""0\"": 0.02391484500000001, \""1\"": 0.05}""",1,0,1,1,3,0,3,3,3,3,23,"12/04/2020, 22:50:30",DAN K
17,./mainpage/dataset/test_dir/1-1-patient35617_study5_view1_frontal.jpg,"""{\""0\"": 0.84, \""1\"": 0.72}""","""{\""0\"": 0.025110587250000014, \""1\"": 0.05}""",1,1,1,0,3,0,3,3,3,3,16,"12/04/2020, 22:51:09",DAN K
18,./mainpage/dataset/test_dir/0-0-patient16791_study1_view1_frontal.jpg,"""{\""0\"": 0.84, \""1\"": 0.72}""","""{\""0\"": 0.025110587250000014, \""1\"": 0.05}""",0,0,0,1,3,1,4,5,2,5,38,"12/04/2020, 22:52:01",DAN K
19,./mainpage/dataset/test_dir/1-0-patient08294_study13_view1_frontal.jpg,"""{\""0\"": 0.775, \""1\"": 0.755}""","""{\""0\"": 0.022599528525000013, \""1\"": 0.05}""",0,0,1,0,3,0,3,3,3,3,23,"12/04/2020, 22:52:34",DAN K
20,./mainpage/dataset/test_dir/1-1-patient35588_study1_view1_frontal.jpg,"""{\""0\"": 0.775, \""1\"": 0.755}""","""{\""0\"": 0.022599528525000013, \""1\"": 0.05}""",1,1,1,0,3,0,3,3,3,3,17,"12/04/2020, 22:53:26",DAN K
21,./mainpage/dataset/test_dir/1-1-patient27473_study8_view1_frontal.jpg,"""{\""0\"": 0.775, \""1\"": 0.755}""","""{\""0\"": 0.022599528525000013, \""1\"": 0.05}""",1,1,1,1,3,1,4,5,4,5,29,"12/04/2020, 22:54:08",DAN K
22,./mainpage/dataset/test_dir/1-1-patient36374_study4_view1_frontal.jpg,"""{\""0\"": 0.805, \""1\"": 0.765}""","""{\""0\"": 0.022599528525000013, \""1\"": 0.045000000000000005}""",1,1,1,0,5,0,3,3,3,3,34,"12/04/2020, 22:54:51",DAN K
23,./mainpage/dataset/test_dir/1-0-patient27612_study2_view1_frontal.jpg,"""{\""0\"": 0.805, \""1\"": 0.765}""","""{\""0\"": 0.022599528525000013, \""1\"": 0.045000000000000005}""",1,0,1,0,4,0,3,3,3,3,26,"12/04/2020, 22:55:26",DAN K
24,./mainpage/dataset/test_dir/1-1-patient14265_study1_view1_frontal.jpg,"""{\""0\"": 0.805, \""1\"": 0.765}""","""{\""0\"": 0.022599528525000013, \""1\"": 0.045000000000000005}""",1,1,1,1,3,1,4,5,4,5,33,"12/04/2020, 22:56:15",DAN K
