patient_num,patient_filename,accuracy,calibration,display_confidence,actual_confidence,model_prediction,ground_truth,user_prediction,user_update,question_relationship,full_questions,question_perceived_accuracy,question_calibration,question_personal_conf,question_model_conf,time_passed,time_stamp,user_name
1,./mainpage/dataset/test_dir/0-1-patient59783_study2_view1_frontal.jpg,"""{\""0\"": 0.81, \""1\"": 0.735}""","""{\""0\"": 0.03, \""1\"": 0.03}""",96.90000,0.97777,1,1,1,0,3,0,3,3,3,3,9,"05/17/2021, 20:32:27",Scott
2,./mainpage/dataset/test_dir/0-0-patient48424_study1_view1_frontal.jpg,"""{\""0\"": 0.81, \""1\"": 0.735}""","""{\""0\"": 0.03, \""1\"": 0.03}""",93.90000,0.95846,0,0,0,0,3,0,3,3,3,3,10,"05/17/2021, 20:32:48",Scott
3,./mainpage/dataset/test_dir/0-0-patient00216_study1_view1_frontal.jpg,"""{\""0\"": 0.81, \""1\"": 0.735}""","""{\""0\"": 0.03, \""1\"": 0.03}""",100.00000,0.99184,0,0,0,0,3,1,3,2,2,4,33,"05/17/2021, 20:33:34",Scott
4,./mainpage/dataset/test_dir/0-1-patient56130_study1_view1_frontal.jpg,"""{\""0\"": 0.81, \""1\"": 0.735}""","""{\""0\"": 0.03, \""1\"": 0.03}""",87.40000,0.92190,1,1,1,0,4,0,3,3,3,3,7,"05/17/2021, 20:34:14",Scott
5,./mainpage/dataset/test_dir/0-0-patient15893_study1_view1_frontal.jpg,"""{\""0\"": 0.81, \""1\"": 0.735}""","""{\""0\"": 0.03, \""1\"": 0.03}""",99.20000,0.98388,0,0,0,0,3,0,3,3,3,3,7,"05/17/2021, 20:34:34",Scott
6,./mainpage/dataset/test_dir/0-0-patient00667_study1_view1_frontal.jpg,"""{\""0\"": 0.81, \""1\"": 0.735}""","""{\""0\"": 0.03, \""1\"": 0.03}""",98.10000,0.98142,0,0,0,0,3,1,3,2,2,4,87,"05/17/2021, 20:36:11",Scott
7,./mainpage/dataset/test_dir/0-0-patient33763_study1_view1_frontal.jpg,"""{\""0\"": 0.81, \""1\"": 0.735}""","""{\""0\"": 0.03, \""1\"": 0.03}""",56.10000,0.55524,0,0,0,0,4,0,3,3,3,3,14,"05/17/2021, 20:36:53",Scott
8,./mainpage/dataset/test_dir/0-0-patient55443_study3_view1_frontal.jpg,"""{\""0\"": 0.81, \""1\"": 0.735}""","""{\""0\"": 0.03, \""1\"": 0.03}""",56.90000,0.53920,0,0,1,1,2,0,3,3,3,3,20,"05/17/2021, 20:38:42",Scott
9,./mainpage/dataset/test_dir/0-1-patient06324_study2_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.705}""","""{\""0\"": 0.03, \""1\"": 0.03}""",94.80000,0.96484,1,1,1,0,4,1,3,4,2,4,51,"05/17/2021, 20:39:47",Scott
10,./mainpage/dataset/test_dir/0-0-patient16791_study1_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.705}""","""{\""0\"": 0.03, \""1\"": 0.03}""",65.40000,0.69306,0,0,0,1,3,0,3,3,3,3,16,"05/17/2021, 20:40:28",Scott
