patient_num,patient_filename,accuracy,calibration,display_confidence,actual_confidence,model_prediction,ground_truth,user_prediction,user_update,question_relationship,full_questions,question_perceived_accuracy,question_calibration,question_personal_conf,question_model_conf,time_passed,time_stamp,user_name
1,./mainpage/dataset/test_dir/0-1-patient14265_study1_view1_frontal.jpg,"""{\""0\"": 0.805, \""1\"": 0.795}""","""{\""0\"": 0.03, \""1\"": 0.03}""",84.30000,0.86505,1,1,1,1,3,0,3,3,3,3,34,"05/23/2021, 21:09:07",Lisa
1,./mainpage/dataset/test_dir/0-1-patient14265_study1_view1_frontal.jpg,"""{\""0\"": 0.805, \""1\"": 0.795}""","""{\""0\"": 0.03, \""1\"": 0.03}""",84.30000,0.86505,1,1,1,1,3,0,3,3,3,3,24,"05/23/2021, 21:09:10",Lisa
1,./mainpage/dataset/test_dir/0-1-patient14265_study1_view1_frontal.jpg,"""{\""0\"": 0.805, \""1\"": 0.795}""","""{\""0\"": 0.03, \""1\"": 0.03}""",84.30000,0.86505,1,1,1,1,3,0,3,3,3,3,71,"05/23/2021, 21:09:25",Lisa
1,./mainpage/dataset/test_dir/0-1-patient14265_study1_view1_frontal.jpg,"""{\""0\"": 0.805, \""1\"": 0.795}""","""{\""0\"": 0.03, \""1\"": 0.03}""",84.30000,0.86505,1,1,1,0,3,0,3,3,3,3,104,"05/23/2021, 21:09:26",Lisa
1,./mainpage/dataset/test_dir/0-1-patient14265_study1_view1_frontal.jpg,"""{\""0\"": 0.805, \""1\"": 0.795}""","""{\""0\"": 0.03, \""1\"": 0.03}""",84.30000,0.86505,1,1,1,0,3,0,3,3,3,3,110,"05/23/2021, 21:09:28",Lisa
2,./mainpage/dataset/test_dir/0-0-patient19503_study1_view1_frontal.jpg,"""{\""0\"": 0.795, \""1\"": 0.775}""","""{\""0\"": 0.027, \""1\"": 0.03}""",100.00000,0.99553,0,0,0,1,3,0,3,3,3,3,14,"05/23/2021, 21:10:22",Lisa
3,./mainpage/dataset/test_dir/0-1-patient21830_study10_view1_frontal.jpg,"""{\""0\"": 0.815, \""1\"": 0.73}""","""{\""0\"": 0.0243, \""1\"": 0.03}""",92.10000,0.94004,1,1,1,1,3,1,3,2,4,4,52,"05/23/2021, 21:11:45",Lisa
4,./mainpage/dataset/test_dir/0-0-patient24363_study1_view1_frontal.jpg,"""{\""0\"": 0.865, \""1\"": 0.765}""","""{\""0\"": 0.02187, \""1\"": 0.03}""",61.80000,0.62657,1,0,0,0,3,0,3,3,3,3,11,"05/23/2021, 21:12:12",Lisa
5,./mainpage/dataset/test_dir/0-0-patient14877_study1_view1_frontal.jpg,"""{\""0\"": 0.865, \""1\"": 0.765}""","""{\""0\"": 0.02187, \""1\"": 0.03}""",89.40000,0.90405,0,0,0,1,3,0,3,3,3,3,26,"05/23/2021, 21:13:28",Lisa
6,./mainpage/dataset/test_dir/0-0-patient08328_study7_view1_frontal.jpg,"""{\""0\"": 0.835, \""1\"": 0.725}""","""{\""0\"": 0.019683000000000003, \""1\"": 0.03}""",89.00000,0.92598,0,0,0,1,3,1,4,3,4,5,44,"05/23/2021, 21:15:07",Lisa
