patient_num,patient_filename,accuracy,calibration,display_confidence,actual_confidence,model_prediction,ground_truth,user_prediction,user_update,question_relationship,full_questions,question_perceived_accuracy,question_calibration,question_personal_conf,question_model_conf,time_passed,time_stamp,user_name
1,./mainpage/dataset/test_dir/0-0-patient57217_study1_view1_frontal.jpg,"""{\""0\"": 0.81, \""1\"": 0.755}""","""{\""0\"": 0.05, \""1\"": 0.05}""",82.70000,0.85666,0,0,0,0,3,0,3,3,3,3,14,"05/11/2021, 22:22:15",A230VUDYOCRZ4N
2,./mainpage/dataset/test_dir/0-0-patient28621_study1_view1_frontal.jpg,"""{\""0\"": 0.81, \""1\"": 0.755}""","""{\""0\"": 0.05, \""1\"": 0.05}""",62.20000,0.58123,0,0,0,0,3,0,3,3,3,3,14,"05/11/2021, 22:22:34",A230VUDYOCRZ4N
3,./mainpage/dataset/test_dir/0-0-patient19503_study1_view1_frontal.jpg,"""{\""0\"": 0.81, \""1\"": 0.755}""","""{\""0\"": 0.05, \""1\"": 0.05}""",82.30000,0.84971,0,0,0,0,3,0,3,3,3,3,6,"05/11/2021, 22:22:46",A230VUDYOCRZ4N
4,./mainpage/dataset/test_dir/0-0-patient24556_study1_view1_frontal.jpg,"""{\""0\"": 0.81, \""1\"": 0.755}""","""{\""0\"": 0.05, \""1\"": 0.05}""",74.40000,0.77584,1,0,1,0,3,0,3,3,3,3,6,"05/11/2021, 22:22:57",A230VUDYOCRZ4N
5,./mainpage/dataset/test_dir/0-0-patient27612_study2_view1_frontal.jpg,"""{\""0\"": 0.81, \""1\"": 0.755}""","""{\""0\"": 0.05, \""1\"": 0.05}""",88.30000,0.89157,1,0,1,0,3,0,3,3,3,3,7,"05/11/2021, 22:23:12",A230VUDYOCRZ4N
6,./mainpage/dataset/test_dir/0-1-patient35588_study1_view1_frontal.jpg,"""{\""0\"": 0.81, \""1\"": 0.755}""","""{\""0\"": 0.05, \""1\"": 0.05}""",74.40000,0.70682,0,1,0,0,3,0,3,3,3,3,11,"05/11/2021, 22:23:34",A230VUDYOCRZ4N
7,./mainpage/dataset/test_dir/0-1-patient07231_study1_view1_frontal.jpg,"""{\""0\"": 0.81, \""1\"": 0.755}""","""{\""0\"": 0.05, \""1\"": 0.05}""",85.00000,0.84601,1,1,1,0,3,0,3,3,3,3,7,"05/11/2021, 22:23:57",A230VUDYOCRZ4N
8,./mainpage/dataset/test_dir/0-0-patient36631_study4_view1_frontal.jpg,"""{\""0\"": 0.81, \""1\"": 0.755}""","""{\""0\"": 0.05, \""1\"": 0.05}""",59.10000,0.54893,0,0,0,0,3,0,3,3,3,3,4,"05/11/2021, 22:24:07",A230VUDYOCRZ4N
9,./mainpage/dataset/test_dir/0-1-patient27473_study8_view1_frontal.jpg,"""{\""0\"": 0.81, \""1\"": 0.755}""","""{\""0\"": 0.05, \""1\"": 0.05}""",89.00000,0.87742,1,1,1,0,3,0,3,3,3,3,7,"05/11/2021, 22:24:24",A230VUDYOCRZ4N
10,./mainpage/dataset/test_dir/0-1-patient20889_study3_view1_frontal.jpg,"""{\""0\"": 0.81, \""1\"": 0.755}""","""{\""0\"": 0.05, \""1\"": 0.05}""",52.20000,0.56921,1,1,1,0,3,0,3,3,3,3,6,"05/11/2021, 22:24:40",A230VUDYOCRZ4N
